day,class_label,user_is_candidate,DS_GENERO,DS_COR_RACA,DS_CARGO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,id
2022-09-01,False,False,FEMININO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,CASADO(A),49
2022-09-01,False,False,FEMININO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),5
2022-09-01,False,False,FEMININO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,CASADO(A),193
2022-09-01,False,False,FEMININO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,SOLTEIRO(A),20
2022-09-01,False,False,FEMININO,PRETA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),1
2022-09-01,False,False,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,CASADO(A),1
2022-09-01,False,False,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,DIVORCIADO(A),16
2022-09-01,False,False,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),28
2022-09-01,False,False,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR INCOMPLETO,DIVORCIADO(A),101
2022-09-01,False,False,MASCULINO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,CASADO(A),232
2022-09-01,False,True,FEMININO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,CASADO(A),29
2022-09-01,False,True,FEMININO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,DIVORCIADO(A),4
2022-09-01,False,True,FEMININO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),2
2022-09-01,False,True,FEMININO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,CASADO(A),13
2022-09-01,False,True,FEMININO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,SOLTEIRO(A),6
2022-09-01,False,True,FEMININO,INDÍGENA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,CASADO(A),11
2022-09-01,False,True,FEMININO,PRETA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,CASADO(A),1
2022-09-01,False,True,FEMININO,PRETA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),2
2022-09-01,False,True,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,CASADO(A),5
2022-09-01,False,True,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,DIVORCIADO(A),16
2022-09-01,False,True,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),12
2022-09-01,False,True,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR INCOMPLETO,DIVORCIADO(A),6
2022-09-01,False,True,MASCULINO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,CASADO(A),7
2022-09-01,False,True,MASCULINO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,DIVORCIADO(A),2
2022-09-01,False,True,MASCULINO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,SOLTEIRO(A),13
2022-09-01,False,True,MASCULINO,BRANCA,DEPUTADO FEDERAL,SUPERIOR INCOMPLETO,CASADO(A),3
2022-09-01,False,True,MASCULINO,PARDA,DEPUTADO FEDERAL,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),1
2022-09-01,True,False,FEMININO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,CASADO(A),1
2022-09-01,True,False,FEMININO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,CASADO(A),24
2022-09-01,True,False,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,DIVORCIADO(A),1
2022-09-01,True,False,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),2
